,Name,Category
583,PTC Industries,"Castings, Forgings & Fastners companies"
584,Electrost.Cast.,"Castings, Forgings & Fastners companies"
585,Sterling Tools,"Castings, Forgings & Fastners companies"
586,Nelcast,"Castings, Forgings & Fastners companies"
587,Steelcast,"Castings, Forgings & Fastners companies"
588,Synergy Green,"Castings, Forgings & Fastners companies"
589,DCM,"Castings, Forgings & Fastners companies"
590,Ganga Forging,"Castings, Forgings & Fastners companies"
591,Pradeep Metals,"Castings, Forgings & Fastners companies"
592,KIC Metaliks,"Castings, Forgings & Fastners companies"
593,LGB Forge,"Castings, Forgings & Fastners companies"
594,Inv.& Prec.Cast.,"Castings, Forgings & Fastners companies"
595,Uni Abex Alloy,"Castings, Forgings & Fastners companies"
596,Tirupati Forge,"Castings, Forgings & Fastners companies"
597,Tayo Rolls,"Castings, Forgings & Fastners companies"
598,Simm. Marshall,"Castings, Forgings & Fastners companies"
599,Magna Electrocas,"Castings, Forgings & Fastners companies"
600,Universal Auto.,"Castings, Forgings & Fastners companies"
601,Samrat Forgings,"Castings, Forgings & Fastners companies"
602,Kalyani Forge,"Castings, Forgings & Fastners companies"
603,Akar Auto Indust,"Castings, Forgings & Fastners companies"
604,National Fitting,"Castings, Forgings & Fastners companies"
605,Bhagwati Auto,"Castings, Forgings & Fastners companies"
606,Nitin Castings,"Castings, Forgings & Fastners companies"
607,Rajkumar Forge,"Castings, Forgings & Fastners companies"
608,Creative Casting,"Castings, Forgings & Fastners companies"
609,Smiths & Founder,"Castings, Forgings & Fastners companies"
610,Porwal Auto Comp,"Castings, Forgings & Fastners companies"
611,Poojawes. Metal.,"Castings, Forgings & Fastners companies"
612,Taparia Tools,"Castings, Forgings & Fastners companies"
613,Captain Techno.,"Castings, Forgings & Fastners companies"
614,Hilton Met.Forg.,"Castings, Forgings & Fastners companies"
615,Simplex Castings,"Castings, Forgings & Fastners companies"
616,Metalyst Forg.,"Castings, Forgings & Fastners companies"
617,Palco Metals Ltd,"Castings, Forgings & Fastners companies"
618,Lak. Prec. Screw,"Castings, Forgings & Fastners companies"
619,Carnation Inds.,"Castings, Forgings & Fastners companies"
620,Universal Auto.,"Castings, Forgings & Fastners companies"
621,Samrat Forgings,"Castings, Forgings & Fastners companies"
622,Kalyani Forge,"Castings, Forgings & Fastners companies"
623,Akar Auto Indust,"Castings, Forgings & Fastners companies"
624,National Fitting,"Castings, Forgings & Fastners companies"
625,Bhagwati Auto,"Castings, Forgings & Fastners companies"
626,Nitin Castings,"Castings, Forgings & Fastners companies"
